id,date,home_team,home_team_score,visit_team,visit_team_score
400578801,2015-01-05,Philadelphia 76ers,95,Cleveland,92
400578816,2015-01-07,Philadelphia 76ers,77,Milwaukee,97
400578831,2015-01-09,Brooklyn,88,Philadelphia 76ers,90
400578844,2015-01-10,Philadelphia 76ers,93,Indiana,92
400578860,2015-01-13,Philadelphia 76ers,87,Atlanta,105
400578870,2015-01-14,Toronto,100,Philadelphia 76ers,84
400578881,2015-01-16,Philadelphia 76ers,96,New Orleans,81
400578893,2015-01-17,Detroit,107,Philadelphia 76ers,89
400578904,2015-01-19,Washington,111,Philadelphia 76ers,76
400578919,2015-01-21,Philadelphia 76ers,91,NY Knicks,98
400578933,2015-01-23,Philadelphia 76ers,86,Toronto,91
400578946,2015-01-24,Memphis,101,Philadelphia 76ers,83
400578963,2015-01-26,New Orleans,99,Philadelphia 76ers,74
400578974,2015-01-28,Philadelphia 76ers,89,Detroit,69
400578988,2015-01-30,Philadelphia 76ers,103,Minnesota,94
400579000,2015-01-31,Atlanta,91,Philadelphia 76ers,85
400579010,2015-02-02,Cleveland,97,Philadelphia 76ers,84
400579018,2015-02-03,Philadelphia 76ers,105,Denver,98
400579042,2015-02-06,Boston,107,Philadelphia 76ers,96
400579053,2015-02-07,Philadelphia 76ers,89,Charlotte,81
400579067,2015-02-09,Philadelphia 76ers,84,Golden State,89
400579096,2015-02-20,Philadelphia 76ers,95,Indiana,106
400579117,2015-02-22,Orlando,103,Philadelphia 76ers,98
400579122,2015-02-23,Miami,119,Philadelphia 76ers,108
400579139,2015-02-25,Milwaukee,104,Philadelphia 76ers,88
400579149,2015-02-27,Philadelphia 76ers,89,Washington,81
400579173,2015-03-01,Indiana,94,Philadelphia 76ers,74
400579177,2015-03-02,Philadelphia 76ers,103,Toronto,114
400579196,2015-03-04,Oklahoma City,123,Philadelphia 76ers,118
400579206,2015-03-06,Philadelphia 76ers,83,Utah,89
400579219,2015-03-07,Philadelphia 76ers,92,Atlanta,84
400579245,2015-03-11,Philadelphia 76ers,95,Chicago,104
400579260,2015-03-13,Philadelphia 76ers,114,Sacramento,107
400579270,2015-03-14,Philadelphia 76ers,87,Brooklyn,94
400579284,2015-03-16,Boston,108,Philadelphia 76ers,89
400579298,2015-03-18,Philadelphia 76ers,94,Detroit,83
400579313,2015-03-20,Philadelphia 76ers,97,NY Knicks,81
400579339,2015-03-22,Los Angeles,101,Philadelphia 76ers,87
400579350,2015-03-24,Sacramento,107,Philadelphia 76ers,106
400579361,2015-03-25,Denver,85,Philadelphia 76ers,99
400579367,2015-03-27,Philadelphia 76ers,98,LA,119
400579384,2015-03-29,Cleveland,87,Philadelphia 76ers,86
400579394,2015-03-30,Philadelphia 76ers,111,Los Angeles,113
400579406,2015-04-01,Washington,106,Philadelphia 76ers,93
400579429,2015-04-04,Charlotte,92,Philadelphia 76ers,91
400579443,2015-04-05,NY Knicks,101,Philadelphia 76ers,91
400579454,2015-04-08,Philadelphia 76ers,90,Washington,119
400579481,2015-04-11,Chicago,114,Philadelphia 76ers,107
400579496,2015-04-13,Philadelphia 76ers,97,Milwaukee,107
400579519,2015-04-15,Philadelphia 76ers,101,Miami,105
400578300,2015-10-29,Toronto Raptors,109,Atlanta,102
400578321,2015-11-01,Orlando,95,Toronto Raptors,108
400578332,2015-11-02,Miami,107,Toronto Raptors,102
400578344,2015-11-04,Toronto Raptors,100,Oklahoma City,88
400578351,2015-11-05,Boston,107,Toronto Raptors,110
400578369,2015-11-07,Toronto Raptors,103,Washington,84
400578385,2015-11-09,Toronto Raptors,120,Philadelphia,88
400578395,2015-11-11,Toronto Raptors,104,Orlando,100
400578411,2015-11-13,Toronto Raptors,93,Chicago,100
400578426,2015-11-15,Toronto Raptors,111,Utah,93
400578458,2015-11-19,Toronto Raptors,96,Memphis,92
400578467,2015-11-21,Toronto Raptors,124,Milwaukee,82
400578478,2015-11-22,Cleveland,93,Toronto Raptors,110
400578493,2015-11-24,Toronto Raptors,104,Phoenix,100
400578507,2015-11-26,Atlanta,115,Toronto Raptors,126
400578519,2015-11-28,Toronto Raptors,102,Dallas,106
400578540,2015-11-30,Los Angeles,129,Toronto Raptors,122
400578553,2015-12-02,Sacramento,109,Toronto Raptors,117
400578563,2015-12-03,Utah,104,Toronto Raptors,123
400578573,2015-12-05,Toronto Raptors,91,Cleveland,105
400578596,2015-12-08,Toronto Raptors,112,Denver,107
400578600,2015-12-09,Cleveland,105,Toronto Raptors,101
400578625,2015-12-12,Toronto Raptors,106,Indiana,94
400578645,2015-12-14,NY Knicks,90,Toronto Raptors,95
400578651,2015-12-15,Toronto Raptors,95,Orlando,82
400578666,2015-12-17,Toronto Raptors,105,Brooklyn,89
400578679,2015-12-19,Detroit,100,Toronto Raptors,110
400578692,2015-12-21,Toronto Raptors,118,NY Knicks,108
400578702,2015-12-22,Chicago,129,Toronto Raptors,120
400578735,2015-12-27,LA,98,Toronto Raptors,110
400578749,2015-12-28,Denver,102,Toronto Raptors,116
400578765,2015-12-30,Portland,102,Toronto Raptors,97
400578785,2015-01-02,Golden State,126,Toronto Raptors,105
400578799,2015-01-04,Phoenix,125,Toronto Raptors,109
400578827,2015-01-08,Toronto Raptors,95,Charlotte,103
400578845,2015-01-10,Toronto Raptors,109,Boston,96
400578857,2015-01-12,Toronto Raptors,111,Detroit,114
400578870,2015-01-14,Toronto Raptors,100,Philadelphia,84
400578884,2015-01-16,Toronto Raptors,89,Atlanta,110
400578900,2015-01-18,Toronto Raptors,93,New Orleans,95
400578911,2015-01-19,Milwaukee,89,Toronto Raptors,92
